Counts_Epoch_0,ExpVal_0,t_exp_0,bgr_0,Counts_Epoch_1,ExpVal_1,t_exp_1,bgr_1,Counts_Epoch_2,ExpVal_2,t_exp_2,bgr_2,Counts_Epoch_3,ExpVal_3,t_exp_3,bgr_3,Counts_Epoch_4,ExpVal_4,t_exp_4,bgr_4,Counts_Epoch_5,ExpVal_5,t_exp_5,bgr_5,Counts_Epoch_6,ExpVal_6,t_exp_6,bgr_6,Counts_Epoch_7,ExpVal_7,t_exp_7,bgr_7,Counts_Epoch_8,ExpVal_8,t_exp_8,bgr_8,Counts_Epoch_9,ExpVal_9,t_exp_9,bgr_9,Counts_Epoch_10,ExpVal_10,t_exp_10,bgr_10,Counts_Epoch_11,ExpVal_11,t_exp_11,bgr_11,Counts_Epoch_12,ExpVal_12,t_exp_12,bgr_12,Counts_Epoch_13,ExpVal_13,t_exp_13,bgr_13,Counts_Epoch_14,ExpVal_14,t_exp_14,bgr_14,Counts_Epoch_15,ExpVal_15,t_exp_15,bgr_15,Counts_Epoch_16,ExpVal_16,t_exp_16,bgr_16,Counts_Epoch_17,ExpVal_17,t_exp_17,bgr_17,Counts_Epoch_18,ExpVal_18,t_exp_18,bgr_18,Counts_Epoch_19,ExpVal_19,t_exp_19,bgr_19,CR_mean
0,1.0449485784353323,98124509242214.84,0.7425875,3,2.1068263012830712,99081259761639.48,0.74808127,0,2.1295555946943288,98478138832218.48,0.4647747,5,3.2473088869522817,98930211700001.5,2.5119636,5,3.996440650935972,97117703133197.31,2.8792965,2,2.53951695839125,98304050900303.19,0.7607125,3,2.971533684049357,96478092700272.03,0.47435173,8,5.092967658696574,98631003228746.28,0.8042819,17,17.695464156756913,99345656858219.73,0.81448555,1,2.046739449471876,99076560632717.61,0.8501727,15,11.862834488722847,98756279526686.6,0.83364296,2,3.77298999834457,98144462411871.25,0.7924701,5,4.77145002608851,97370378152739.89,1.3119674,6,5.694060666982109,97557596677498.67,0.7830795,0,0.9440530559650377,97461657031918.67,0.33154094,8,8.38773766537033,98386975193308.45,0.8435953,0,1.3894054670653166,97110705811014.23,0.69748604,2,1.9902630710350826,96974123176804.89,0.7817387,4,2.3864900992821823,98144337645941.9,0.30832508,2,1.2326170869663564,98341585709994.05,0.7861987,4.4856414629651956e-14
4,3.0858462964697138,98124509242214.84,0.7425875,4,3.1271088246794467,99081259761639.48,0.74808127,2,1.5239621613498122,98478138832218.48,0.4647747,6,3.693299779371282,98930211700001.5,2.5119636,3,4.371331427370708,97117703133197.31,2.8792965,2,4.6305540106510374,98304050900303.19,0.7607125,2,1.6078322013775954,96478092700272.03,0.47435173,3,7.053713146484119,98631003228746.28,0.8042819,4,2.479057940971696,99345656858219.73,0.81448555,0,1.2560349632155807,99076560632717.61,0.8501727,7,7.413038121436584,98756279526686.6,0.83364296,2,2.4390426376709717,98144462411871.25,0.7924701,7,3.9392602099576184,97370378152739.89,1.3119674,2,2.042910216582262,97557596677498.67,0.7830795,4,2.5190070394543675,97461657031918.67,0.33154094,1,2.0704659302734854,98386975193308.45,0.8435953,4,2.032327691217752,97110705811014.23,0.69748604,1,1.0693816817603425,96974123176804.89,0.7817387,2,3.635985311694029,98144337645941.9,0.30832508,2,1.0145238354032438,98341585709994.05,0.7861987,3.1603383034527516e-14
1,2.2058473689303906,98124509242214.84,0.7425875,1,1.9804180455440408,99081259761639.48,0.74808127,4,1.1570334675967286,98478138832218.48,0.4647747,5,4.161921767378438,98930211700001.5,2.5119636,3,3.946397102109223,97117703133197.31,2.8792965,0,1.4761009166223586,98304050900303.19,0.7607125,1,0.7404343318749954,96478092700272.03,0.47435173,2,2.0083599042450304,98631003228746.28,0.8042819,4,3.342100761714826,99345656858219.73,0.81448555,2,1.4638804102039744,99076560632717.61,0.8501727,1,1.178913519243141,98756279526686.6,0.83364296,2,1.6191812155383425,98144462411871.25,0.7924701,1,1.7508024619263105,97370378152739.89,1.3119674,1,1.7995977432603234,97557596677498.67,0.7830795,0,1.420403914327162,97461657031918.67,0.33154094,1,1.3424320737142041,98386975193308.45,0.8435953,4,1.4086638802369347,97110705811014.23,0.69748604,2,2.2525629989816327,96974123176804.89,0.7817387,2,2.9865109785683983,98144337645941.9,0.30832508,4,1.7961374315213465,98341585709994.05,0.7861987,2.089901136154239e-14
8,6.6693813807055164,98124509242214.84,0.7425875,4,3.2982632850921583,99081259761639.48,0.74808127,3,2.006920336143329,98478138832218.48,0.4647747,7,3.552471765405557,98930211700001.5,2.5119636,9,5.197850113252538,97117703133197.31,2.8792965,3,0.8853153225798917,98304050900303.19,0.7607125,0,1.0930185867982125,96478092700272.03,0.47435173,5,2.7148120686766157,98631003228746.28,0.8042819,2,2.8906831642298134,99345656858219.73,0.81448555,2,3.23965373309651,99076560632717.61,0.8501727,3,3.3768322084653657,98756279526686.6,0.83364296,5,6.612185196378545,98144462411871.25,0.7924701,2,2.390434302421633,97370378152739.89,1.3119674,3,2.8304176679184443,97557596677498.67,0.7830795,0,2.29237746349707,97461657031918.67,0.33154094,1,3.842440844025056,98386975193308.45,0.8435953,7,3.6430432775326778,97110705811014.23,0.69748604,6,8.176387668322498,96974123176804.89,0.7817387,1,0.7794978499621702,98144337645941.9,0.30832508,2,1.8661207509931144,98341585709994.05,0.7861987,3.721043486323401e-14
3,1.9146791387148872,98124509242214.84,0.7425875,3,1.392482172136841,99081259761639.48,0.74808127,3,2.4342193027469543,98478138832218.48,0.4647747,5,3.347469512307571,98930211700001.5,2.5119636,6,3.7768146489354137,97117703133197.31,2.8792965,4,1.6305414877764235,98304050900303.19,0.7607125,5,6.557913563354389,96478092700272.03,0.47435173,0,2.40221354053783,98631003228746.28,0.8042819,1,1.287019995553289,99345656858219.73,0.81448555,55,55.42382946332678,99076560632717.61,0.8501727,3,3.15728511372501,98756279526686.6,0.83364296,0,2.0935539927284568,98144462411871.25,0.7924701,0,1.578908952091814,97370378152739.89,1.3119674,4,4.784511594057834,97557596677498.67,0.7830795,2,1.0521905100901263,97461657031918.67,0.33154094,2,1.4373891085745911,98386975193308.45,0.8435953,1,1.3420396557422642,97110705811014.23,0.69748604,2,2.0800540943838417,96974123176804.89,0.7817387,15,12.512581663253604,98144337645941.9,0.30832508,0,2.629551996462761,98341585709994.05,0.7861987,5.81094462247764e-14
1,1.5326786654326234,98124509242214.84,0.7425875,1,1.7518444258060828,99081259761639.48,0.74808127,2,0.8192968052416347,98478138832218.48,0.4647747,7,4.032763091664867,98930211700001.5,2.5119636,3,3.5130164168542812,97117703133197.31,2.8792965,1,1.2693346463638147,98304050900303.19,0.7607125,3,2.7566039173260557,96478092700272.03,0.47435173,10,7.172893635960531,98631003228746.28,0.8042819,2,1.8873414464983176,99345656858219.73,0.81448555,16,24.089072708405446,99076560632717.61,0.8501727,4,2.037263335116199,98756279526686.6,0.83364296,6,4.723850096661678,98144462411871.25,0.7924701,2,2.830892311379304,97370378152739.89,1.3119674,1,1.2509009897197108,97557596677498.67,0.7830795,4,4.6681698027251555,97461657031918.67,0.33154094,1,4.028961381019764,98386975193308.45,0.8435953,3,2.289765562220989,97110705811014.23,0.69748604,1,3.2861251611946662,96974123176804.89,0.7817387,1,0.8549879492911102,98144337645941.9,0.30832508,2,1.2832406839812522,98341585709994.05,0.7861987,3.619097089437829e-14
5,2.3413885140933726,98124509242214.84,0.7425875,0,1.7081998311467013,99081259761639.48,0.74808127,1,1.7957815632402165,98478138832218.48,0.4647747,5,3.4596339526845035,98930211700001.5,2.5119636,2,3.260179559802804,97117703133197.31,2.8792965,4,3.945691380013181,98304050900303.19,0.7607125,13,10.429551770705205,96478092700272.03,0.47435173,1,2.102591828086095,98631003228746.28,0.8042819,4,3.4501004157445605,99345656858219.73,0.81448555,10,10.83306197615177,99076560632717.61,0.8501727,2,1.3271206278840402,98756279526686.6,0.83364296,0,1.5199624097733389,98144462411871.25,0.7924701,3,4.227665479995865,97370378152739.89,1.3119674,4,1.3297334907542409,97557596677498.67,0.7830795,4,3.264986819360171,97461657031918.67,0.33154094,3,5.2438372447992645,98386975193308.45,0.8435953,7,10.221736163749117,97110705811014.23,0.69748604,3,1.1748132035993346,96974123176804.89,0.7817387,4,3.0848297403147167,98144337645941.9,0.30832508,1,1.393312176810166,98341585709994.05,0.7861987,3.87396308165176e-14
0,1.0269992983899818,98124509242214.84,0.7425875,5,5.8561271065842275,99081259761639.48,0.74808127,3,2.5324262262035266,98478138832218.48,0.4647747,5,3.7109309004197826,98930211700001.5,2.5119636,9,3.562262175503029,97117703133197.31,2.8792965,0,1.2079655009522223,98304050900303.19,0.7607125,6,2.4628334580030113,96478092700272.03,0.47435173,2,1.5620235497538033,98631003228746.28,0.8042819,3,1.652734124148993,99345656858219.73,0.81448555,5,4.078587513482656,99076560632717.61,0.8501727,1,1.609372528427615,98756279526686.6,0.83364296,1,1.6970963812963715,98144462411871.25,0.7924701,2,3.1141017467300856,97370378152739.89,1.3119674,2,2.321276968990833,97557596677498.67,0.7830795,1,0.9850583189930474,97461657031918.67,0.33154094,0,1.9802708223607743,98386975193308.45,0.8435953,4,4.453676741662786,97110705811014.23,0.69748604,2,0.9731614564178691,96974123176804.89,0.7817387,1,0.40517342751624585,98144337645941.9,0.30832508,4,1.9318379388704863,98341585709994.05,0.7861987,2.854499112796034e-14
2,1.2585007193013125,98124509242214.84,0.7425875,7,6.630082548690896,99081259761639.48,0.74808127,2,2.332482289718439,98478138832218.48,0.4647747,4,5.339703852551397,98930211700001.5,2.5119636,7,4.45926251519842,97117703133197.31,2.8792965,1,1.274820678996822,98304050900303.19,0.7607125,5,0.8477854496960118,96478092700272.03,0.47435173,0,0.9740110693382443,98631003228746.28,0.8042819,0,0.9776767669740205,99345656858219.73,0.81448555,1,2.056743516294739,99076560632717.61,0.8501727,2,1.1590069889829482,98756279526686.6,0.83364296,1,3.3315126971397095,98144462411871.25,0.7924701,2,5.000534462710716,97370378152739.89,1.3119674,2,1.043941802678476,97557596677498.67,0.7830795,0,1.247445020394576,97461657031918.67,0.33154094,1,2.9352577403183235,98386975193308.45,0.8435953,2,3.7601278801875457,97110705811014.23,0.69748604,4,2.271387307449354,96974123176804.89,0.7817387,1,0.7774273206521074,98144337645941.9,0.30832508,1,2.0726534105887326,98341585709994.05,0.7861987,2.2937939299253842e-14
2,2.2795331591712555,98124509242214.84,0.7425875,3,2.1118659809080658,99081259761639.48,0.74808127,6,1.4259626561123147,98478138832218.48,0.4647747,2,3.318742889088443,98930211700001.5,2.5119636,4,3.9246832921616885,97117703133197.31,2.8792965,1,1.1222530940838111,98304050900303.19,0.7607125,0,1.8560872626520668,96478092700272.03,0.47435173,0,2.427618856022244,98631003228746.28,0.8042819,11,11.526508944530233,99345656858219.73,0.81448555,2,1.9386039094998737,99076560632717.61,0.8501727,5,4.474335553501026,98756279526686.6,0.83364296,0,1.3218888377478322,98144462411871.25,0.7924701,2,1.8726468684896118,97370378152739.89,1.3119674,3,2.0763854117534954,97557596677498.67,0.7830795,3,3.8455561249919294,97461657031918.67,0.33154094,4,1.3586280416589185,98386975193308.45,0.8435953,3,1.8413007833878694,97110705811014.23,0.69748604,0,1.3626716472614504,96974123176804.89,0.7817387,0,0.8998256721165463,98144337645941.9,0.30832508,1,1.7316883356160622,98341585709994.05,0.7861987,2.6506063190248885e-14
