Counts_Epoch_0,ExpVal_0,t_exp_0,bgr_0,Counts_Epoch_1,ExpVal_1,t_exp_1,bgr_1,Counts_Epoch_2,ExpVal_2,t_exp_2,bgr_2,Counts_Epoch_3,ExpVal_3,t_exp_3,bgr_3,Counts_Epoch_4,ExpVal_4,t_exp_4,bgr_4,Counts_Epoch_5,ExpVal_5,t_exp_5,bgr_5,Counts_Epoch_6,ExpVal_6,t_exp_6,bgr_6,Counts_Epoch_7,ExpVal_7,t_exp_7,bgr_7,Counts_Epoch_8,ExpVal_8,t_exp_8,bgr_8,Counts_Epoch_9,ExpVal_9,t_exp_9,bgr_9,Counts_Epoch_10,ExpVal_10,t_exp_10,bgr_10,Counts_Epoch_11,ExpVal_11,t_exp_11,bgr_11,Counts_Epoch_12,ExpVal_12,t_exp_12,bgr_12,Counts_Epoch_13,ExpVal_13,t_exp_13,bgr_13,Counts_Epoch_14,ExpVal_14,t_exp_14,bgr_14,Counts_Epoch_15,ExpVal_15,t_exp_15,bgr_15,Counts_Epoch_16,ExpVal_16,t_exp_16,bgr_16,Counts_Epoch_17,ExpVal_17,t_exp_17,bgr_17,Counts_Epoch_18,ExpVal_18,t_exp_18,bgr_18,Counts_Epoch_19,ExpVal_19,t_exp_19,bgr_19,CR_mean
2,1.0500445572898458,98124509242214.84,0.7425875,0,1.6840965584384682,99081259761639.48,0.74808127,0,0.7796174470831544,98478138832218.48,0.4647747,5,3.0036762965081256,98930211700001.5,2.5119636,6,4.895008226933342,97117703133197.31,2.8792965,5,4.1034930344901825,98304050900303.19,0.7607125,4,2.236027372053051,96478092700272.03,0.47435173,3,2.2544616889743168,98631003228746.28,0.8042819,13,13.646147138750765,99345656858219.73,0.81448555,4,3.9971731775715247,99076560632717.61,0.8501727,1,1.5657118074600174,98756279526686.6,0.83364296,4,2.777469810579453,98144462411871.25,0.7924701,9,9.908401758127097,97370378152739.89,1.3119674,1,2.9949863315918765,97557596677498.67,0.7830795,3,0.826727901643419,97461657031918.67,0.33154094,1,2.1586958967506398,98386975193308.45,0.8435953,0,1.289884214757711,97110705811014.23,0.69748604,2,1.3647801321146713,96974123176804.89,0.7817387,4,3.8580870580504105,98144337645941.9,0.30832508,2,2.988784398260328,98341585709994.05,0.7861987,3.517150692552256e-14
4,3.051994954816127,98124509242214.84,0.7425875,2,1.2119913024455546,99081259761639.48,0.74808127,1,2.1206260482723787,98478138832218.48,0.4647747,6,3.5810006324149146,98930211700001.5,2.5119636,6,5.862242168077385,97117703133197.31,2.8792965,2,3.3192726030144355,98304050900303.19,0.7607125,2,2.210388660100757,96478092700272.03,0.47435173,0,1.9191134087649269,98631003228746.28,0.8042819,7,7.498515294437123,99345656858219.73,0.81448555,0,1.2023979257275972,99076560632717.61,0.8501727,3,2.205554944021646,98756279526686.6,0.83364296,1,1.1876518874815105,98144462411871.25,0.7924701,1,3.0595241932334876,97370378152739.89,1.3119674,0,1.4233926154587584,97557596677498.67,0.7830795,2,1.3259737157156155,97461657031918.67,0.33154094,6,1.6969632667671948,98386975193308.45,0.8435953,1,1.114743705494703,97110705811014.23,0.69748604,7,6.090182890650795,96974123176804.89,0.7817387,5,3.1047585788786956,98144337645941.9,0.30832508,1,2.5204550736872227,98341585709994.05,0.7861987,2.90547231123882e-14
1,2.086352745487008,98124509242214.84,0.7425875,3,2.715923871462155,99081259761639.48,0.74808127,0,0.7434297542637556,98478138832218.48,0.4647747,4,3.606519785842334,98930211700001.5,2.5119636,5,3.588590710320498,97117703133197.31,2.8792965,1,1.8914247080157482,98304050900303.19,0.7607125,3,3.89346315680782,96478092700272.03,0.47435173,0,2.4623058050344713,98631003228746.28,0.8042819,1,1.3053612399504004,99345656858219.73,0.81448555,2,2.1133765983687143,99076560632717.61,0.8501727,5,3.7101548638071375,98756279526686.6,0.83364296,5,3.3520649715016355,98144462411871.25,0.7924701,2,1.9163725522123483,97370378152739.89,1.3119674,2,1.9308864853557617,97557596677498.67,0.7830795,7,9.569504771293323,97461657031918.67,0.33154094,3,2.2576628268272314,98386975193308.45,0.8435953,1,2.8933097778802677,97110705811014.23,0.69748604,5,5.571769949876457,96974123176804.89,0.7817387,0,0.6572512929448446,98144337645941.9,0.30832508,1,1.1805511753096893,98341585709994.05,0.7861987,2.599633120582102e-14
7,6.887821193698901,98124509242214.84,0.7425875,2,2.108379194161212,99081259761639.48,0.74808127,3,1.2838794766221264,98478138832218.48,0.4647747,6,3.2315178435303054,98930211700001.5,2.5119636,5,3.0435637399958293,97117703133197.31,2.8792965,5,2.8885939296898164,98304050900303.19,0.7607125,9,8.418643949843215,96478092700272.03,0.47435173,3,3.6340576748702174,98631003228746.28,0.8042819,2,2.579370339015082,99345656858219.73,0.81448555,2,2.504059691388222,99076560632717.61,0.8501727,3,4.5828142398466065,98756279526686.6,0.83364296,2,1.607531600900809,98144462411871.25,0.7924701,4,5.021278152958485,97370378152739.89,1.3119674,1,1.0554055091619785,97557596677498.67,0.7830795,7,3.9352263021102054,97461657031918.67,0.33154094,3,3.241961963401619,98386975193308.45,0.8435953,2,3.0027653454747885,97110705811014.23,0.69748604,3,1.3373903365558348,96974123176804.89,0.7817387,0,1.38004688550039,98144337645941.9,0.30832508,6,2.7488143743215425,98341585709994.05,0.7861987,3.8229898832089736e-14
3,2.192350340721609,98124509242214.84,0.7425875,2,1.3950050368743176,99081259761639.48,0.74808127,31,30.683208171539857,98478138832218.48,0.4647747,8,4.7684048992382175,98930211700001.5,2.5119636,6,3.786589061976309,97117703133197.31,2.8792965,2,2.97937728207883,98304050900303.19,0.7607125,1,1.1007480982983844,96478092700272.03,0.47435173,1,0.9934885428866116,98631003228746.28,0.8042819,2,3.2051988039706405,99345656858219.73,0.81448555,2,2.2388008497543765,99076560632717.61,0.8501727,0,1.8960989968821997,98756279526686.6,0.83364296,3,4.341224384273131,98144462411871.25,0.7924701,2,1.9099371972148618,97370378152739.89,1.3119674,18,14.963962190005159,97557596677498.67,0.7830795,42,33.92549699144928,97461657031918.67,0.33154094,0,1.1825485760757146,98386975193308.45,0.8435953,4,6.174475841021448,97110705811014.23,0.69748604,4,1.2255201194607128,96974123176804.89,0.7817387,1,2.6593732042152616,98144337645941.9,0.30832508,1,1.548234322888394,98341585709994.05,0.7861987,6.77943539289058e-14
1,1.5433550232298288,98124509242214.84,0.7425875,2,1.082287066488675,99081259761639.48,0.74808127,7,8.545525438798961,98478138832218.48,0.4647747,3,3.8642325866212435,98930211700001.5,2.5119636,5,3.2720280443722847,97117703133197.31,2.8792965,2,2.2259570117007943,98304050900303.19,0.7607125,3,1.0294601722733887,96478092700272.03,0.47435173,1,1.2511497615370015,98631003228746.28,0.8042819,1,1.8277330023441019,99345656858219.73,0.81448555,4,8.971343230178649,99076560632717.61,0.8501727,9,7.3852715773317,98756279526686.6,0.83364296,2,1.8969664561045556,98144462411871.25,0.7924701,3,4.019497273207826,97370378152739.89,1.3119674,4,1.9712090231049955,97557596677498.67,0.7830795,0,0.737901524655847,97461657031918.67,0.33154094,0,1.2386347457832623,98386975193308.45,0.8435953,2,1.470565269766222,97110705811014.23,0.69748604,2,5.0321997583805045,96974123176804.89,0.7817387,1,1.0278312281804551,98144337645941.9,0.30832508,0,1.0967608709104624,98341585709994.05,0.7861987,2.6506063190248885e-14
4,2.16793153458115,98124509242214.84,0.7425875,3,3.756960595883878,99081259761639.48,0.74808127,1,1.0856386471873516,98478138832218.48,0.4647747,6,5.211123008236971,98930211700001.5,2.5119636,5,6.51391140072962,97117703133197.31,2.8792965,1,1.591931220446156,98304050900303.19,0.7607125,3,2.5367956657531585,96478092700272.03,0.47435173,3,3.541638423961075,98631003228746.28,0.8042819,0,1.3543625584465366,99345656858219.73,0.81448555,6,5.55957875603125,99076560632717.61,0.8501727,2,3.008573401670445,98756279526686.6,0.83364296,4,0.8654723452811485,98144462411871.25,0.7924701,6,6.3464533373434255,97370378152739.89,1.3119674,1,0.9836735212076783,97557596677498.67,0.7830795,1,2.3406287076687704,97461657031918.67,0.33154094,9,5.066160052046063,98386975193308.45,0.8435953,2,1.5031433113350499,97110705811014.23,0.69748604,0,1.2805400388908197,96974123176804.89,0.7817387,0,0.5858557655364396,98144337645941.9,0.30832508,4,4.3643268625989835,98341585709994.05,0.7861987,3.1093651050099656e-14
0,0.9591538211568958,98124509242214.84,0.7425875,3,3.133580156587798,99081259761639.48,0.74808127,2,0.7241341908689991,98478138832218.48,0.4647747,9,3.633789752889249,98930211700001.5,2.5119636,6,3.4445639943036896,97117703133197.31,2.8792965,5,2.168643554421257,98304050900303.19,0.7607125,2,1.2356690810531337,96478092700272.03,0.47435173,3,1.7425428307394353,98631003228746.28,0.8042819,3,1.6453573006998483,99345656858219.73,0.81448555,2,4.150733883652423,99076560632717.61,0.8501727,1,1.601431818419363,98756279526686.6,0.83364296,1,1.7109360057249694,98144462411871.25,0.7924701,1,2.141528538651113,97370378152739.89,1.3119674,0,2.44209080773085,97557596677498.67,0.7830795,1,1.7743817246818634,97461657031918.67,0.33154094,3,4.670183801897396,98386975193308.45,0.8435953,1,1.6574402471935483,97110705811014.23,0.69748604,2,1.6771118742807603,96974123176804.89,0.7817387,1,1.6929156753987908,98144337645941.9,0.30832508,4,1.6277030597407554,98341585709994.05,0.7861987,2.5486599221393157e-14
2,1.3249599542458346,98124509242214.84,0.7425875,2,2.4689125241257557,99081259761639.48,0.74808127,1,1.6238218604660062,98478138832218.48,0.4647747,5,4.960141261638444,98930211700001.5,2.5119636,3,3.521391299839059,97117703133197.31,2.8792965,7,4.762317934530669,98304050900303.19,0.7607125,0,1.578615933813535,96478092700272.03,0.47435173,20,15.276183267011133,98631003228746.28,0.8042819,6,1.1512712193101735,99345656858219.73,0.81448555,2,1.5891006499818492,99076560632717.61,0.8501727,2,1.18615745677169,98756279526686.6,0.83364296,1,2.082692232277531,98144462411871.25,0.7924701,1,3.261926710929191,97370378152739.89,1.3119674,6,5.660945906026548,97557596677498.67,0.7830795,1,2.3738106140670814,97461657031918.67,0.33154094,0,2.200237123605173,98386975193308.45,0.8435953,4,1.7706797182309217,97110705811014.23,0.69748604,1,1.3851976538039552,96974123176804.89,0.7817387,0,1.0798285855019425,98144337645941.9,0.30832508,9,8.83585150349904,98341585709994.05,0.7861987,3.721043486323401e-14
5,2.498025375692561,98124509242214.84,0.7425875,3,3.6847863775090315,99081259761639.48,0.74808127,1,1.4514321830699068,98478138832218.48,0.4647747,5,7.303693255371072,98930211700001.5,2.5119636,3,3.1749411678801054,97117703133197.31,2.8792965,17,14.414040445953313,98304050900303.19,0.7607125,1,0.9580248985363038,96478092700272.03,0.47435173,0,2.725898249853275,98631003228746.28,0.8042819,4,3.7133763771684736,99345656858219.73,0.81448555,1,1.5689008010924455,99076560632717.61,0.8501727,10,7.176699758232014,98756279526686.6,0.83364296,1,0.9080300239129289,98144462411871.25,0.7924701,1,1.9351936572876218,97370378152739.89,1.3119674,1,0.9007462919527017,97557596677498.67,0.7830795,0,2.8629792163222167,97461657031918.67,0.33154094,2,1.9758551440518288,98386975193308.45,0.8435953,1,2.870779106105564,97110705811014.23,0.69748604,3,3.294641492192286,96974123176804.89,0.7817387,3,3.4290777895637787,98144337645941.9,0.30832508,2,1.787933110412677,98341585709994.05,0.7861987,3.2622847003383244e-14
