Counts_Epoch_0,ExpVal_0,t_exp_0,bgr_0,Counts_Epoch_1,ExpVal_1,t_exp_1,bgr_1,Counts_Epoch_2,ExpVal_2,t_exp_2,bgr_2,Counts_Epoch_3,ExpVal_3,t_exp_3,bgr_3,Counts_Epoch_4,ExpVal_4,t_exp_4,bgr_4,Counts_Epoch_5,ExpVal_5,t_exp_5,bgr_5,Counts_Epoch_6,ExpVal_6,t_exp_6,bgr_6,Counts_Epoch_7,ExpVal_7,t_exp_7,bgr_7,Counts_Epoch_8,ExpVal_8,t_exp_8,bgr_8,Counts_Epoch_9,ExpVal_9,t_exp_9,bgr_9,CR_mean
2,1.21679245828852,98124509242214.84,0.7425875,0,1.2628433983791112,99081259761639.48,0.74808127,2,3.4471319037524624,98478138832218.48,0.4647747,9,4.9637658190164515,98930211700001.5,2.5119636,19,18.279892301890598,97117703133197.31,2.8792965,2,1.5315498676462767,98304050900303.19,0.7607125,15,12.18931529631198,96478092700272.03,0.47435173,3,1.1957456231059835,98631003228746.28,0.8042819,0,1.3902742202626448,99345656858219.73,0.81448555,7,5.831110524589616,99076560632717.61,0.8501727,5.998573435596731e-14
3,4.5078875645688345,98124509242214.84,0.7425875,3,3.2698715850961286,99081259761639.48,0.74808127,6,5.244091568407782,98478138832218.48,0.4647747,2,4.407785833088781,98930211700001.5,2.5119636,6,10.055160283322326,97117703133197.31,2.8792965,4,2.012420148221179,98304050900303.19,0.7607125,1,2.263408097170215,96478092700272.03,0.47435173,2,2.100174723941188,98631003228746.28,0.8042819,2,1.3117673069310916,99345656858219.73,0.81448555,4,4.400578283029233,99076560632717.61,0.8501727,3.3551342944863076e-14
4,3.4848808890780143,98124509242214.84,0.7425875,2,1.1065896914103517,99081259761639.48,0.74808127,1,1.1113966916431912,98478138832218.48,0.4647747,10,5.593593493344817,98930211700001.5,2.5119636,2,3.298983512946271,97117703133197.31,2.8792965,2,3.1838343072605317,98304050900303.19,0.7607125,2,1.2384726645004687,96478092700272.03,0.47435173,5,10.13399609321515,98631003228746.28,0.8042819,5,3.251400893201178,99345656858219.73,0.81448555,0,1.1806855066087139,99076560632717.61,0.8501727,3.3551342944863076e-14
7,9.018351834129087,98124509242214.84,0.7425875,0,1.8255373621437343,99081259761639.48,0.74808127,0,0.5952484870562178,98478138832218.48,0.4647747,15,11.325568630988357,98930211700001.5,2.5119636,9,4.835326102148051,97117703133197.31,2.8792965,6,4.125678564224055,98304050900303.19,0.7607125,1,3.8805274045761786,96478092700272.03,0.47435173,7,5.939498746372136,98631003228746.28,0.8042819,3,2.718009175816694,99345656858219.73,0.81448555,1,1.7852908409287047,99076560632717.61,0.8501727,4.9818660736311836e-14
1,2.7334239048761977,98124509242214.84,0.7425875,39,33.52043521728238,99081259761639.48,0.74808127,2,1.3095156887861932,98478138832218.48,0.4647747,3,3.210718820989568,98930211700001.5,2.5119636,5,5.17703475417079,97117703133197.31,2.8792965,0,1.8080631482452547,98304050900303.19,0.7607125,1,1.5249411388155043,96478092700272.03,0.47435173,33,29.861740540056836,98631003228746.28,0.8042819,8,5.478431705145884,99345656858219.73,0.81448555,5,3.250574078951689,99076560632717.61,0.8501727,9.862061411065813e-14
1,1.8559285876806586,98124509242214.84,0.7425875,8,6.705862501999013,99081259761639.48,0.74808127,0,0.9260623354568042,98478138832218.48,0.4647747,3,3.0626718394453496,98930211700001.5,2.5119636,3,4.078729437458524,97117703133197.31,2.8792965,6,6.7417074758580045,98304050900303.19,0.7607125,3,2.903881633207026,96478092700272.03,0.47435173,2,1.1257131332483081,98631003228746.28,0.8042819,1,1.59206519111006,99345656858219.73,0.81448555,1,1.4965923827614702,99076560632717.61,0.8501727,2.8467806135035337e-14
6,2.9216392380849836,98124509242214.84,0.7425875,4,1.4703094521652997,99081259761639.48,0.74808127,7,4.604154057605316,98478138832218.48,0.4647747,5,4.652433105099575,98930211700001.5,2.5119636,6,3.551081133688499,97117703133197.31,2.8792965,3,3.2066636157588806,98304050900303.19,0.7607125,5,4.306086587222916,96478092700272.03,0.47435173,3,3.0090926984183173,98631003228746.28,0.8042819,2,1.6336453679320009,99345656858219.73,0.81448555,2,1.2330091230957634,99076560632717.61,0.8501727,4.3718416564518554e-14
0,1.0186631376415787,98124509242214.84,0.7425875,0,1.050488181544398,99081259761639.48,0.74808127,1,1.0668017445398466,98478138832218.48,0.4647747,6,3.286597414542128,98930211700001.5,2.5119636,1,3.5417100059523023,97117703133197.31,2.8792965,2,1.4535453369659783,98304050900303.19,0.7607125,0,1.533049145655652,96478092700272.03,0.47435173,1,2.0559870083009697,98631003228746.28,0.8042819,3,1.9535604861545777,99345656858219.73,0.81448555,0,2.3397247090670525,99076560632717.61,0.8501727,1.4233903067517668e-14
3,1.2742627591196487,98124509242214.84,0.7425875,3,2.086170192948682,99081259761639.48,0.74808127,2,1.048131685437066,98478138832218.48,0.4647747,6,3.5790895447746482,98930211700001.5,2.5119636,6,3.1630127172932605,97117703133197.31,2.8792965,3,1.121931530405647,98304050900303.19,0.7607125,2,2.4881554291048307,96478092700272.03,0.47435173,2,3.0074558367918853,98631003228746.28,0.8042819,1,1.9591762019533505,99345656858219.73,0.81448555,1,1.758191014725073,99076560632717.61,0.8501727,2.9484513497000886e-14
2,2.4617753089710455,98124509242214.84,0.7425875,2,1.6602841914593103,99081259761639.48,0.74808127,0,0.7983552796702963,98478138832218.48,0.4647747,2,2.9736058804066805,98930211700001.5,2.5119636,5,5.3121126190884205,97117703133197.31,2.8792965,7,7.065551900335347,98304050900303.19,0.7607125,4,1.053291087097556,96478092700272.03,0.47435173,1,2.940749623688844,98631003228746.28,0.8042819,2,2.9507770988741697,99345656858219.73,0.81448555,3,3.3126122858504887,99076560632717.61,0.8501727,2.8467806135035337e-14
