Counts_Epoch_0,ExpVal_0,t_exp_0,bgr_0,Counts_Epoch_1,ExpVal_1,t_exp_1,bgr_1,Counts_Epoch_2,ExpVal_2,t_exp_2,bgr_2,Counts_Epoch_3,ExpVal_3,t_exp_3,bgr_3,Counts_Epoch_4,ExpVal_4,t_exp_4,bgr_4,Counts_Epoch_5,ExpVal_5,t_exp_5,bgr_5,Counts_Epoch_6,ExpVal_6,t_exp_6,bgr_6,Counts_Epoch_7,ExpVal_7,t_exp_7,bgr_7,Counts_Epoch_8,ExpVal_8,t_exp_8,bgr_8,Counts_Epoch_9,ExpVal_9,t_exp_9,bgr_9,Counts_Epoch_10,ExpVal_10,t_exp_10,bgr_10,Counts_Epoch_11,ExpVal_11,t_exp_11,bgr_11,Counts_Epoch_12,ExpVal_12,t_exp_12,bgr_12,Counts_Epoch_13,ExpVal_13,t_exp_13,bgr_13,Counts_Epoch_14,ExpVal_14,t_exp_14,bgr_14,Counts_Epoch_15,ExpVal_15,t_exp_15,bgr_15,Counts_Epoch_16,ExpVal_16,t_exp_16,bgr_16,Counts_Epoch_17,ExpVal_17,t_exp_17,bgr_17,Counts_Epoch_18,ExpVal_18,t_exp_18,bgr_18,Counts_Epoch_19,ExpVal_19,t_exp_19,bgr_19,CR_mean
1,1.1590768558196793,98124509242214.84,0.7425875,4,3.659545359963572,99081259761639.48,0.74808127,23,17.392367956496987,98478138832218.48,0.4647747,11,13.201114639357913,98930211700001.5,2.5119636,3,3.5475082245233684,97117703133197.31,2.8792965,1,0.9439223340464096,98304050900303.19,0.7607125,2,1.8055307936579876,96478092700272.03,0.47435173,7,5.03791578420879,98631003228746.28,0.8042819,3,1.7662712365513016,99345656858219.73,0.81448555,2,2.3811284803287522,99076560632717.61,0.8501727,1,1.8986395415890296,98756279526686.6,0.83364296,4,4.903270796695713,98144462411871.25,0.7924701,4,4.112270683193952,97370378152739.89,1.3119674,4,2.1370260694619647,97557596677498.67,0.7830795,1,0.8824707896582958,97461657031918.67,0.33154094,2,1.343384672316112,98386975193308.45,0.8435953,2,1.539491824271822,97110705811014.23,0.69748604,12,7.169791066127535,96974123176804.89,0.7817387,2,1.8442408921516624,98144337645941.9,0.30832508,2,1.8001679654829572,98341585709994.05,0.7861987,4.638561058293555e-14
4,4.00834631887697,98124509242214.84,0.7425875,3,5.4081533553935195,99081259761639.48,0.74808127,12,8.003307488357333,98478138832218.48,0.4647747,7,4.6714541021163525,98930211700001.5,2.5119636,1,3.35703500468624,97117703133197.31,2.8792965,2,1.6604692773509848,98304050900303.19,0.7607125,2,1.7475691108882874,96478092700272.03,0.47435173,4,2.6156176162682483,98631003228746.28,0.8042819,2,2.8418686046460935,99345656858219.73,0.81448555,3,1.1761727090430747,99076560632717.61,0.8501727,2,1.5919594874508105,98756279526686.6,0.83364296,6,3.2523774206464364,98144462411871.25,0.7924701,5,3.2125296013549836,97370378152739.89,1.3119674,1,2.5616607339864443,97557596677498.67,0.7830795,4,2.2432802586591354,97461657031918.67,0.33154094,2,1.0474806550800697,98386975193308.45,0.8435953,2,0.8803400220219378,97110705811014.23,0.69748604,5,4.328560976442143,96974123176804.89,0.7817387,3,0.9503097592083561,98144337645941.9,0.30832508,1,2.9497100363501527,98341585709994.05,0.7861987,3.619097089437829e-14
5,2.992423782447363,98124509242214.84,0.7425875,0,1.441921481449278,99081259761639.48,0.74808127,0,0.904612213627744,98478138832218.48,0.4647747,2,3.2014599218903435,98930211700001.5,2.5119636,6,5.308277474145498,97117703133197.31,2.8792965,2,0.9090566136671052,98304050900303.19,0.7607125,6,7.480108202457357,96478092700272.03,0.47435173,6,8.536226653989914,98631003228746.28,0.8042819,0,0.9155624830678044,99345656858219.73,0.81448555,4,4.765476352737182,99076560632717.61,0.8501727,2,1.405799439067431,98756279526686.6,0.83364296,5,3.469194623303656,98144462411871.25,0.7924701,11,8.055522939341499,97370378152739.89,1.3119674,2,4.000480202422391,97557596677498.67,0.7830795,3,2.6406650362297945,97461657031918.67,0.33154094,7,7.784062929555613,98386975193308.45,0.8435953,0,1.1342293427217098,97110705811014.23,0.69748604,0,1.0164270742906463,96974123176804.89,0.7817387,1,1.4516853865900683,98144337645941.9,0.30832508,3,2.175419860580392,98341585709994.05,0.7861987,3.3132578987811105e-14
5,5.964495617233868,98124509242214.84,0.7425875,0,0.9023738115453404,99081259761639.48,0.74808127,4,2.5092638849931723,98478138832218.48,0.4647747,9,6.196279728704009,98930211700001.5,2.5119636,7,5.732463917075751,97117703133197.31,2.8792965,2,1.7498945782265198,98304050900303.19,0.7607125,3,1.3913247290093218,96478092700272.03,0.47435173,5,2.483535292085909,98631003228746.28,0.8042819,9,4.710646301982265,99345656858219.73,0.81448555,0,0.9619467148336597,99076560632717.61,0.8501727,1,1.3120239184423679,98756279526686.6,0.83364296,0,1.1995397098866112,98144462411871.25,0.7924701,2,4.217644207231832,97370378152739.89,1.3119674,2,1.0385214796025886,97557596677498.67,0.7830795,6,4.63750019640931,97461657031918.67,0.33154094,4,2.7782611222363336,98386975193308.45,0.8435953,5,2.409565043690096,97110705811014.23,0.69748604,2,4.306884447011111,96974123176804.89,0.7817387,4,3.7662648632209814,98144337645941.9,0.30832508,1,1.5571347037559669,98341585709994.05,0.7861987,3.619097089437829e-14
2,2.3491962973538145,98124509242214.84,0.7425875,6,1.726218990821991,99081259761639.48,0.74808127,4,2.848943207773376,98478138832218.48,0.4647747,2,3.4692941433063087,98930211700001.5,2.5119636,12,8.65326820981209,97117703133197.31,2.8792965,2,3.31327245770244,98304050900303.19,0.7607125,2,1.073236940859019,96478092700272.03,0.47435173,1,1.381411184879019,98631003228746.28,0.8042819,1,1.0391961088254709,99345656858219.73,0.81448555,12,9.789934683577263,99076560632717.61,0.8501727,1,2.299017946865019,98756279526686.6,0.83364296,15,5.957356088274732,98144462411871.25,0.7924701,2,1.8172237392039592,97370378152739.89,1.3119674,3,1.3794357504092734,97557596677498.67,0.7830795,2,3.1563641636017823,97461657031918.67,0.33154094,3,3.778928929481506,98386975193308.45,0.8435953,2,2.724047705095661,97110705811014.23,0.69748604,1,1.8165621723175824,96974123176804.89,0.7817387,1,1.4553368843711187,98144337645941.9,0.30832508,2,4.255675226966615,98341585709994.05,0.7861987,3.87396308165176e-14
2,1.5005664784992203,98124509242214.84,0.7425875,1,1.2653532164199097,99081259761639.48,0.74808127,2,1.376977298405605,98478138832218.48,0.4647747,5,6.248397990947119,98930211700001.5,2.5119636,3,3.828046925814032,97117703133197.31,2.8792965,7,3.222842518008209,98304050900303.19,0.7607125,1,1.0832532173921416,96478092700272.03,0.47435173,1,1.7646325216805108,98631003228746.28,0.8042819,5,4.538353197798916,99345656858219.73,0.81448555,2,1.6593933629882567,99076560632717.61,0.8501727,0,2.402946708627921,98756279526686.6,0.83364296,2,1.8775845135799472,98144462411871.25,0.7924701,5,4.360485316224162,97370378152739.89,1.3119674,3,0.9728350529664415,97557596677498.67,0.7830795,0,1.9648960056960365,97461657031918.67,0.33154094,7,3.724770160134917,98386975193308.45,0.8435953,2,4.189912109271122,97110705811014.23,0.69748604,4,1.7130168861560247,96974123176804.89,0.7817387,2,1.4202471014312743,98144337645941.9,0.30832508,0,1.5803602096169396,98341585709994.05,0.7861987,2.752552715910461e-14
1,2.786505850882542,98124509242214.84,0.7425875,5,4.580173197169444,99081259761639.48,0.74808127,0,1.1634764777226243,98478138832218.48,0.4647747,12,7.693498904869948,98930211700001.5,2.5119636,3,4.0273617888760675,97117703133197.31,2.8792965,3,3.033376936724869,98304050900303.19,0.7607125,5,3.656034538048381,96478092700272.03,0.47435173,4,5.695439729910174,98631003228746.28,0.8042819,3,3.9283317296277556,99345656858219.73,0.81448555,3,1.9707945653213088,99076560632717.61,0.8501727,0,1.1482019490101072,98756279526686.6,0.83364296,8,5.977827562007413,98144462411871.25,0.7924701,3,2.603726128214271,97370378152739.89,1.3119674,4,3.08089001065858,97557596677498.67,0.7830795,1,0.7009826079837734,97461657031918.67,0.33154094,1,1.2849983644399459,98386975193308.45,0.8435953,2,0.8976729248225012,97110705811014.23,0.69748604,3,2.2788129835976996,96974123176804.89,0.7817387,0,0.9984063174314576,98144337645941.9,0.30832508,1,2.027658886647149,98341585709994.05,0.7861987,3.1603383034527516e-14
0,0.9791597240919585,98124509242214.84,0.7425875,1,1.4392563679855845,99081259761639.48,0.74808127,1,1.2674862003938534,98478138832218.48,0.4647747,7,3.6484670203910454,98930211700001.5,2.5119636,5,3.8041535296454283,97117703133197.31,2.8792965,6,5.19052044878757,98304050900303.19,0.7607125,0,1.1559978833458824,96478092700272.03,0.47435173,4,2.7909865408665833,98631003228746.28,0.8042819,1,1.753448624808494,99345656858219.73,0.81448555,4,1.2924790910562183,99076560632717.61,0.8501727,8,5.032164579703875,98756279526686.6,0.83364296,3,3.0384779599513823,98144462411871.25,0.7924701,10,9.088744935397857,97370378152739.89,1.3119674,4,3.172170874090172,97557596677498.67,0.7830795,3,0.8410839576124137,97461657031918.67,0.33154094,2,1.8483140776893239,98386975193308.45,0.8435953,3,1.1979132881050876,97110705811014.23,0.69748604,3,3.2899067256057193,96974123176804.89,0.7817387,50,59.987677254798335,98144337645941.9,0.30832508,1,1.16894609437727,98341585709994.05,0.7861987,5.912891019363212e-14
1,1.2853073777550648,98124509242214.84,0.7425875,2,1.521844517809811,99081259761639.48,0.74808127,1,0.9689447648362096,98478138832218.48,0.4647747,6,5.016587818386933,98930211700001.5,2.5119636,8,3.8501801699492004,97117703133197.31,2.8792965,10,11.292367409733865,98304050900303.19,0.7607125,5,2.8040942616161195,96478092700272.03,0.47435173,3,5.301534907338736,98631003228746.28,0.8042819,1,2.143434061968804,99345656858219.73,0.81448555,7,8.204358209873792,99076560632717.61,0.8501727,2,2.4412638099254136,98756279526686.6,0.83364296,0,2.190208060399234,98144462411871.25,0.7924701,4,1.771714183323881,97370378152739.89,1.3119674,3,3.1249743342812457,97557596677498.67,0.7830795,1,0.6723115185299888,97461657031918.67,0.33154094,5,4.441810948637043,98386975193308.45,0.8435953,3,1.1513629143753967,97110705811014.23,0.69748604,0,1.11477984633104,96974123176804.89,0.7817387,8,4.877946700333375,98144337645941.9,0.30832508,5,3.392466964978401,98341585709994.05,0.7861987,3.8229898832089736e-14
3,2.8127673927659185,98124509242214.84,0.7425875,1,1.3172234178314666,99081259761639.48,0.74808127,5,3.8079135282941716,98478138832218.48,0.4647747,1,3.1697078167981116,98930211700001.5,2.5119636,4,5.2039430252069945,97117703133197.31,2.8792965,0,1.8435116140299492,98304050900303.19,0.7607125,4,3.430303795562322,96478092700272.03,0.47435173,1,1.2810339450922956,98631003228746.28,0.8042819,1,3.500347318334544,99345656858219.73,0.81448555,0,1.0533668758098054,99076560632717.61,0.8501727,0,2.188406701721253,98756279526686.6,0.83364296,1,1.0682750980845404,98144462411871.25,0.7924701,8,4.427338240482971,97370378152739.89,1.3119674,0,0.9536906754432786,97557596677498.67,0.7830795,0,1.6072405878792606,97461657031918.67,0.33154094,4,4.512723635683264,98386975193308.45,0.8435953,2,1.7066592869220123,97110705811014.23,0.69748604,0,0.933957104568038,96974123176804.89,0.7817387,4,3.4814227054103877,98144337645941.9,0.30832508,2,2.400409527962907,98341585709994.05,0.7861987,2.089901136154239e-14
