Counts_Epoch_0,ExpVal_0,t_exp_0,bgr_0,Counts_Epoch_1,ExpVal_1,t_exp_1,bgr_1,Counts_Epoch_2,ExpVal_2,t_exp_2,bgr_2,Counts_Epoch_3,ExpVal_3,t_exp_3,bgr_3,Counts_Epoch_4,ExpVal_4,t_exp_4,bgr_4,Counts_Epoch_5,ExpVal_5,t_exp_5,bgr_5,Counts_Epoch_6,ExpVal_6,t_exp_6,bgr_6,Counts_Epoch_7,ExpVal_7,t_exp_7,bgr_7,Counts_Epoch_8,ExpVal_8,t_exp_8,bgr_8,Counts_Epoch_9,ExpVal_9,t_exp_9,bgr_9,Counts_Epoch_10,ExpVal_10,t_exp_10,bgr_10,Counts_Epoch_11,ExpVal_11,t_exp_11,bgr_11,Counts_Epoch_12,ExpVal_12,t_exp_12,bgr_12,Counts_Epoch_13,ExpVal_13,t_exp_13,bgr_13,Counts_Epoch_14,ExpVal_14,t_exp_14,bgr_14,Counts_Epoch_15,ExpVal_15,t_exp_15,bgr_15,Counts_Epoch_16,ExpVal_16,t_exp_16,bgr_16,Counts_Epoch_17,ExpVal_17,t_exp_17,bgr_17,Counts_Epoch_18,ExpVal_18,t_exp_18,bgr_18,Counts_Epoch_19,ExpVal_19,t_exp_19,bgr_19,Counts_Epoch_20,ExpVal_20,t_exp_20,bgr_20,Counts_Epoch_21,ExpVal_21,t_exp_21,bgr_21,Counts_Epoch_22,ExpVal_22,t_exp_22,bgr_22,Counts_Epoch_23,ExpVal_23,t_exp_23,bgr_23,Counts_Epoch_24,ExpVal_24,t_exp_24,bgr_24,Counts_Epoch_25,ExpVal_25,t_exp_25,bgr_25,Counts_Epoch_26,ExpVal_26,t_exp_26,bgr_26,Counts_Epoch_27,ExpVal_27,t_exp_27,bgr_27,Counts_Epoch_28,ExpVal_28,t_exp_28,bgr_28,Counts_Epoch_29,ExpVal_29,t_exp_29,bgr_29,Counts_Epoch_30,ExpVal_30,t_exp_30,bgr_30,Counts_Epoch_31,ExpVal_31,t_exp_31,bgr_31,Counts_Epoch_32,ExpVal_32,t_exp_32,bgr_32,Counts_Epoch_33,ExpVal_33,t_exp_33,bgr_33,Counts_Epoch_34,ExpVal_34,t_exp_34,bgr_34,Counts_Epoch_35,ExpVal_35,t_exp_35,bgr_35,Counts_Epoch_36,ExpVal_36,t_exp_36,bgr_36,Counts_Epoch_37,ExpVal_37,t_exp_37,bgr_37,Counts_Epoch_38,ExpVal_38,t_exp_38,bgr_38,Counts_Epoch_39,ExpVal_39,t_exp_39,bgr_39,CR_mean
1,1.0302048296123474,98124509242214.84,0.7425875,1,1.1203167711098159,99081259761639.48,0.74808127,2,2.5651034591805524,98478138832218.48,0.4647747,6,4.533599372231568,98930211700001.5,2.5119636,20,19.001698978974606,97117703133197.31,2.8792965,3,1.5885338722915854,98304050900303.19,0.7607125,20,13.827152294317958,96478092700272.03,0.47435173,2,1.647019125775668,98631003228746.28,0.8042819,4,1.7542337002244874,99345656858219.73,0.81448555,7,7.08857568620902,99076560632717.61,0.8501727,2,1.1589987875556698,98756279526686.6,0.83364296,1,1.1332452867454104,98144462411871.25,0.7924701,5,2.7840860973998747,97370378152739.89,1.3119674,2,1.9071456707143803,97557596677498.67,0.7830795,7,5.459022882063318,97461657031918.67,0.33154094,1,1.3836782547437059,98386975193308.45,0.8435953,6,1.4510693916585922,97110705811014.23,0.69748604,3,4.725796438361123,96974123176804.89,0.7817387,1,1.331520197124033,98144337645941.9,0.30832508,5,4.289056082051705,98341585709994.05,0.7861987,2,1.8213394121240052,98494994944755.03,0.792149,2,2.585401783433701,97330964555911.28,2.0240593,5,5.8107510385707775,96989120553237.44,0.75356996,7,4.51604490837879,94618618980218.66,0.26326552,4,2.8640935265711116,96244247160492.34,0.7734305,4,4.723632131081245,96632846268387.25,4.428826,2,1.977414311003184,99451176734366.92,0.7564135,9,8.627558242179852,99451176734366.92,0.7564135,1,1.375692686189796,95547958607414.3,0.8336373,5,3.7755357319970675,100004759141157.5,0.5485019,2,1.0812040612827718,100004759141157.5,0.5485019,3,1.0617056906039943,97759894956349.88,0.35190576,1,1.810736276146794,98507869599567.39,0.7866047,6,5.192226132833364,95448764135315.06,1.2929298,9,5.404841312695959,96590150012468.3,0.49111244,11,7.179473233853255,96590150012468.3,0.49111244,3,2.2939133003711647,97860926838070.1,0.7392443,1,1.1039071683787107,95646445531833.31,0.74486357,0,1.6107605198582589,96329408664740.17,0.5731433,0,1.6890972015280297,99508060146129.39,0.74262804,4.5003262443224185e-14
2,3.1398922302836785,98124509242214.84,0.7425875,3,2.533831389265774,99081259761639.48,0.74808127,6,4.588133499698501,98478138832218.48,0.4647747,1,4.041129379640188,98930211700001.5,2.5119636,12,10.648136160038007,97117703133197.31,2.8792965,3,2.5405954840533966,98304050900303.19,0.7607125,0,2.7065959785854647,96478092700272.03,0.47435173,3,2.161879988024506,98631003228746.28,0.8042819,0,1.3532007952512244,99345656858219.73,0.81448555,6,5.562241775577762,99076560632717.61,0.8501727,3,2.004660755843404,98756279526686.6,0.83364296,2,2.219035210259273,98144462411871.25,0.7924701,4,2.5335174837439007,97370378152739.89,1.3119674,8,8.07550889992955,97557596677498.67,0.7830795,1,1.6434012440340415,97461657031918.67,0.33154094,2,1.4842096650596166,98386975193308.45,0.8435953,3,2.6699092706963072,97110705811014.23,0.69748604,2,2.7037141467747645,96974123176804.89,0.7817387,0,0.7395129446891604,98144337645941.9,0.30832508,1,2.518512143756954,98341585709994.05,0.7861987,1,1.4126911828168232,98494994944755.03,0.792149,4,2.9725190392324885,97330964555911.28,2.0240593,3,2.584041607935551,96989120553237.44,0.75356996,0,2.340215951433515,94618618980218.66,0.26326552,0,2.359629109182346,96244247160492.34,0.7734305,14,8.329662900188978,96632846268387.25,4.428826,1,2.480551863694627,99451176734366.92,0.7564135,2,1.214319614933866,99451176734366.92,0.7564135,3,2.7709387321356904,95547958607414.3,0.8336373,5,3.331834550438888,100004759141157.5,0.5485019,2,0.7499447569835308,100004759141157.5,0.5485019,3,2.383161226218436,97759894956349.88,0.35190576,1,0.9691235183988504,98507869599567.39,0.7866047,3,1.8214339885260638,95448764135315.06,1.2929298,6,4.305673084587191,96590150012468.3,0.49111244,1,0.7666795287414416,96590150012468.3,0.49111244,0,1.267476112754513,97860926838070.1,0.7392443,2,2.8609120309122438,95646445531833.31,0.74486357,0,2.8306808118786697,96329408664740.17,0.5731433,5,1.7240765723739155,99508060146129.39,0.74262804,3.0172641865343485e-14
4,2.291695519186934,98124509242214.84,0.7425875,0,0.9952533443641209,99081259761639.48,0.74808127,4,1.1917982195286985,98478138832218.48,0.4647747,2,6.519738141775008,98930211700001.5,2.5119636,4,3.4856655123905966,97117703133197.31,2.8792965,4,4.350070575710676,98304050900303.19,0.7607125,6,1.33452530002194,96478092700272.03,0.47435173,10,14.371443712020804,98631003228746.28,0.8042819,3,4.317548068380979,99345656858219.73,0.81448555,3,1.3507096190487111,99076560632717.61,0.8501727,0,0.989259340524796,98756279526686.6,0.83364296,3,1.5127276729770653,98144462411871.25,0.7924701,5,6.267163458690131,97370378152739.89,1.3119674,1,1.833825625983728,97557596677498.67,0.7830795,3,5.890472229862502,97461657031918.67,0.33154094,4,3.863025527529749,98386975193308.45,0.8435953,1,0.7726801030296762,97110705811014.23,0.69748604,7,5.791213826454779,96974123176804.89,0.7817387,5,3.4283794125834857,98144337645941.9,0.30832508,8,3.211323808593626,98341585709994.05,0.7861987,1,1.2974739264817237,98494994944755.03,0.792149,4,3.977960169952542,97330964555911.28,2.0240593,4,3.025826779551728,96989120553237.44,0.75356996,0,0.8103680670095302,94618618980218.66,0.26326552,5,6.071956357043912,96244247160492.34,0.7734305,2,4.540759400415198,96632846268387.25,4.428826,2,3.473626757159885,99451176734366.92,0.7564135,1,2.2045264927192,99451176734366.92,0.7564135,3,2.534136731992033,95547958607414.3,0.8336373,0,1.425228739930677,100004759141157.5,0.5485019,4,4.79212584225779,100004759141157.5,0.5485019,1,1.561752739838994,97759894956349.88,0.35190576,2,1.2565128607029563,98507869599567.39,0.7866047,5,4.172945849638014,95448764135315.06,1.2929298,2,0.7269831099709484,96590150012468.3,0.49111244,15,12.76326562123579,96590150012468.3,0.49111244,1,1.8641381155866286,97860926838070.1,0.7392443,1,2.248032538194648,95646445531833.31,0.74486357,2,1.9903899239922158,96329408664740.17,0.5731433,0,1.0107189202211555,99508060146129.39,0.74262804,3.375244683241814e-14
8,8.733542140418919,98124509242214.84,0.7425875,3,1.8458884550237982,99081259761639.48,0.74808127,1,0.6753473652577966,98478138832218.48,0.4647747,14,13.630937532295999,98930211700001.5,2.5119636,10,5.307470141171604,97117703133197.31,2.8792965,2,4.217304019266271,98304050900303.19,0.7607125,7,3.6468562545640095,96478092700272.03,0.47435173,2,4.822832646070271,98631003228746.28,0.8042819,3,2.9709001990743547,99345656858219.73,0.81448555,1,1.9280610424550892,99076560632717.61,0.8501727,0,1.8216579441630174,98756279526686.6,0.83364296,11,5.927583779103654,98144462411871.25,0.7924701,0,2.3699881259580016,97370378152739.89,1.3119674,1,1.7369835103317024,97557596677498.67,0.7830795,2,1.7915112459751081,97461657031918.67,0.33154094,0,1.0131688507580714,98386975193308.45,0.8435953,7,4.2208305440009735,97110705811014.23,0.69748604,3,3.765572764645956,96974123176804.89,0.7817387,0,0.39235164907464537,98144337645941.9,0.30832508,1,1.4623609216621651,98341585709994.05,0.7861987,1,1.38349026917358,98494994944755.03,0.792149,8,5.05335808328231,97330964555911.28,2.0240593,2,1.1218969429699857,96989120553237.44,0.75356996,0,0.5422132578954122,94618618980218.66,0.26326552,4,3.9224659332388927,96244247160492.34,0.7734305,6,4.684355499265313,96632846268387.25,4.428826,1,0.9784361308136982,99451176734366.92,0.7564135,3,1.2099357202385812,99451176734366.92,0.7564135,5,4.5270075060740576,95547958607414.3,0.8336373,0,2.0565669581167376,100004759141157.5,0.5485019,2,2.116800150238675,100004759141157.5,0.5485019,1,1.2930962278923372,97759894956349.88,0.35190576,8,2.727212614494727,98507869599567.39,0.7866047,3,3.5681821354085694,95448764135315.06,1.2929298,5,4.037692879252338,96590150012468.3,0.49111244,0,0.8356257862851273,96590150012468.3,0.49111244,4,3.966047026681793,97860926838070.1,0.7392443,2,2.2853500450434447,95646445531833.31,0.74486357,4,1.120565543882034,96329408664740.17,0.5731433,3,1.1301170687651265,99508060146129.39,0.74262804,3.528664896116442e-14
3,2.8639858881738656,98124509242214.84,0.7425875,37,41.7875787286312,99081259761639.48,0.74808127,3,2.0128820997718337,98478138832218.48,0.4647747,4,3.1060088887759414,98930211700001.5,2.5119636,4,5.283499549119961,97117703133197.31,2.8792965,4,1.9878561454229489,98304050900303.19,0.7607125,3,1.189335305134891,96478092700272.03,0.47435173,37,30.38463914125068,98631003228746.28,0.8042819,9,8.16013549304914,99345656858219.73,0.81448555,4,3.3321885941589993,99076560632717.61,0.8501727,3,3.7929673950455327,98756279526686.6,0.83364296,10,6.063142811523764,98144462411871.25,0.7924701,3,1.8984857909145463,97370378152739.89,1.3119674,4,4.184546642096263,97557596677498.67,0.7830795,2,0.937537447130655,97461657031918.67,0.33154094,2,2.8154494785058906,98386975193308.45,0.8435953,0,0.8841924025110243,97110705811014.23,0.69748604,3,4.421946248491153,96974123176804.89,0.7817387,7,8.792940922585597,98144337645941.9,0.30832508,1,1.607092339103727,98341585709994.05,0.7861987,1,1.9424487919270257,98494994944755.03,0.792149,8,5.390091540733589,97330964555911.28,2.0240593,7,5.540910865681923,96989120553237.44,0.75356996,3,1.562674025491784,94618618980218.66,0.26326552,0,1.265019967238471,96244247160492.34,0.7734305,8,4.833538105422523,96632846268387.25,4.428826,1,1.269234889681022,99451176734366.92,0.7564135,2,0.9118633633273838,99451176734366.92,0.7564135,0,3.5059518905489364,95547958607414.3,0.8336373,0,1.0321214773797667,100004759141157.5,0.5485019,3,3.316692493058644,100004759141157.5,0.5485019,3,2.9597591229736193,97759894956349.88,0.35190576,2,2.677910271569021,98507869599567.39,0.7866047,1,2.472305905284766,95448764135315.06,1.2929298,1,1.2244961945349215,96590150012468.3,0.49111244,0,0.7872157271710699,96590150012468.3,0.49111244,2,1.842084184914723,97860926838070.1,0.7392443,2,1.1883002636833324,95646445531833.31,0.74486357,1,2.4731879446337164,96329408664740.17,0.5731433,1,0.907298940468665,99508060146129.39,0.74262804,4.832736705550779e-14
0,2.0964961468021306,98124509242214.84,0.7425875,4,8.496145399811592,99081259761639.48,0.74808127,0,1.1533387842926415,98478138832218.48,0.4647747,7,3.1831813786137353,98930211700001.5,2.5119636,1,3.8537798905058414,97117703133197.31,2.8792965,4,5.218021556573197,98304050900303.19,0.7607125,6,4.182855156614146,96478092700272.03,0.47435173,0,1.1964505957955194,98631003228746.28,0.8042819,1,1.6247104522297589,99345656858219.73,0.81448555,3,1.5665236136665632,99076560632717.61,0.8501727,6,3.6710624464697346,98756279526686.6,0.83364296,3,3.447145637047267,98144462411871.25,0.7924701,1,1.8815354142060978,97370378152739.89,1.3119674,12,13.32781657549566,97557596677498.67,0.7830795,2,1.135428727620099,97461657031918.67,0.33154094,1,1.198504963836697,98386975193308.45,0.8435953,3,2.966168072318102,97110705811014.23,0.69748604,4,1.6502147949652777,96974123176804.89,0.7817387,1,0.9673445223991946,98144337645941.9,0.30832508,0,1.169966012000776,98341585709994.05,0.7861987,3,2.2608740350161662,98494994944755.03,0.792149,2,2.8248606387151893,97330964555911.28,2.0240593,0,1.4284845765506295,96989120553237.44,0.75356996,0,0.6518837581716881,94618618980218.66,0.26326552,5,3.1550006093512564,96244247160492.34,0.7734305,11,7.175009102607396,96632846268387.25,4.428826,0,0.9267992565279175,99451176734366.92,0.7564135,2,1.9836336413810158,99451176734366.92,0.7564135,0,2.1612204279179625,95547958607414.3,0.8336373,3,3.1576598260907995,100004759141157.5,0.5485019,3,2.9271396554930296,100004759141157.5,0.5485019,1,0.9473342369537223,97759894956349.88,0.35190576,6,5.017275825509077,98507869599567.39,0.7866047,4,1.8271938963677394,95448764135315.06,1.2929298,1,1.399364634264023,96590150012468.3,0.49111244,4,1.9082657965635612,96590150012468.3,0.49111244,2,1.8471086371960204,97860926838070.1,0.7392443,2,1.2127098603578912,95646445531833.31,0.74486357,3,1.2130392308944487,96329408664740.17,0.5731433,5,3.1182870924880137,99508060146129.39,0.74262804,2.9661241155761394e-14
1,2.8869945904100653,98124509242214.84,0.7425875,1,1.49074411997041,99081259761639.48,0.74808127,3,3.867885578848712,98478138832218.48,0.4647747,4,4.403670813191513,98930211700001.5,2.5119636,4,3.50354362488119,97117703133197.31,2.8792965,1,2.890397906883147,98304050900303.19,0.7607125,4,5.639845903122823,96478092700272.03,0.47435173,5,2.7965604295920814,98631003228746.28,0.8042819,2,2.088066572032667,99345656858219.73,0.81448555,3,1.1462453929933485,99076560632717.61,0.8501727,2,2.9813126093842466,98756279526686.6,0.83364296,1,1.021193645512219,98144462411871.25,0.7924701,1,4.003589230561174,97370378152739.89,1.3119674,3,1.1745673107038437,97557596677498.67,0.7830795,6,4.884543960153022,97461657031918.67,0.33154094,2,1.050690261534334,98386975193308.45,0.8435953,3,3.5206330888996447,97110705811014.23,0.69748604,1,2.421056362202356,96974123176804.89,0.7817387,1,1.2849848350311839,98144337645941.9,0.30832508,2,3.320123159389361,98341585709994.05,0.7861987,3,1.064611653213682,98494994944755.03,0.792149,4,5.077134239802854,97330964555911.28,2.0240593,6,5.404635028929871,96989120553237.44,0.75356996,1,0.7422139185211927,94618618980218.66,0.26326552,2,1.7714706286474549,96244247160492.34,0.7734305,6,5.955698775855636,96632846268387.25,4.428826,2,3.0383404621327728,99451176734366.92,0.7564135,0,1.1571127851220462,99451176734366.92,0.7564135,0,1.045918332721934,95547958607414.3,0.8336373,2,2.81031841587546,100004759141157.5,0.5485019,4,1.1415860943097875,100004759141157.5,0.5485019,2,2.486407742290107,97759894956349.88,0.35190576,3,0.9396081187432064,98507869599567.39,0.7866047,1,2.0411559910843646,95448764135315.06,1.2929298,1,1.4886456078657475,96590150012468.3,0.49111244,0,0.7716583966480801,96590150012468.3,0.49111244,1,1.395260987798796,97860926838070.1,0.7392443,0,1.3485714577506638,95646445531833.31,0.74486357,4,1.3654649486565236,96329408664740.17,0.5731433,4,3.156054687392223,99508060146129.39,0.74262804,2.4547234059940463e-14
1,1.046436488584933,98124509242214.84,0.7425875,1,1.0314025509785025,99081259761639.48,0.74808127,0,1.0946472503236806,98478138832218.48,0.4647747,1,3.2077906576516444,98930211700001.5,2.5119636,2,3.533658535244448,97117703133197.31,2.8792965,1,1.4989717814208312,98304050900303.19,0.7607125,1,1.591972856062229,96478092700272.03,0.47435173,1,2.4387026350175582,98631003228746.28,0.8042819,1,1.8393222917615286,99345656858219.73,0.81448555,1,1.902083009196659,99076560632717.61,0.8501727,4,5.0494398996147565,98756279526686.6,0.83364296,1,0.8815412267477165,98144462411871.25,0.7924701,0,1.9413704298659296,97370378152739.89,1.3119674,15,13.302610607702078,97557596677498.67,0.7830795,4,1.5359697404227366,97461657031918.67,0.33154094,9,6.427533777947109,98386975193308.45,0.8435953,0,1.6663745753570334,97110705811014.23,0.69748604,17,14.51395982353117,96974123176804.89,0.7817387,1,0.6729391993476195,98144337645941.9,0.30832508,1,1.400566873074383,98341585709994.05,0.7861987,3,4.090980822575629,98494994944755.03,0.792149,5,4.104164631899694,97330964555911.28,2.0240593,7,3.606140297815449,96989120553237.44,0.75356996,1,0.7733665495008395,94618618980218.66,0.26326552,4,6.745360671642358,96244247160492.34,0.7734305,5,5.90133449400555,96632846268387.25,4.428826,4,2.785525756544121,99451176734366.92,0.7564135,0,1.9112997748272482,99451176734366.92,0.7564135,0,1.3678832140367905,95547958607414.3,0.8336373,2,1.9456938815371982,100004759141157.5,0.5485019,2,1.4155940914752718,100004759141157.5,0.5485019,13,16.13023498183222,97759894956349.88,0.35190576,2,1.3027479934625572,98507869599567.39,0.7866047,0,1.4370824356028744,95448764135315.06,1.2929298,1,2.3322586838914736,96590150012468.3,0.49111244,3,1.2689256331069123,96590150012468.3,0.49111244,44,34.83666527634165,97860926838070.1,0.7392443,2,1.4924269892465654,95646445531833.31,0.74486357,0,0.9299329782261705,96329408664740.17,0.5731433,1,1.7281066896679134,99508060146129.39,0.74262804,4.1167757121358484e-14
0,1.3228729558394132,98124509242214.84,0.7425875,2,2.1431520895149374,99081259761639.48,0.74808127,1,1.0411334766466194,98478138832218.48,0.4647747,1,3.4108592731782483,98930211700001.5,2.5119636,1,3.250705236998924,97117703133197.31,2.8792965,3,1.1262031408483173,98304050900303.19,0.7607125,2,2.4962155746878967,96478092700272.03,0.47435173,3,3.6957770636001093,98631003228746.28,0.8042819,1,1.6712384419662267,99345656858219.73,0.81448555,3,1.8274241631378358,99076560632717.61,0.8501727,9,10.489488683186027,98756279526686.6,0.83364296,0,1.2881056157385848,98144462411871.25,0.7924701,2,3.309904174213214,97370378152739.89,1.3119674,4,2.869840322925996,97557596677498.67,0.7830795,2,4.020636701785473,97461657031918.67,0.33154094,2,1.4911366664049568,98386975193308.45,0.8435953,1,1.763306356273929,97110705811014.23,0.69748604,7,5.283511499275367,96974123176804.89,0.7817387,6,5.750387424142508,98144337645941.9,0.30832508,1,2.16874513883567,98341585709994.05,0.7861987,2,1.7886439857899992,98494994944755.03,0.792149,2,3.7936413610609083,97330964555911.28,2.0240593,1,2.2020880278404125,96989120553237.44,0.75356996,3,0.6404424864978093,94618618980218.66,0.26326552,0,1.2159316903943973,96244247160492.34,0.7734305,6,6.500298315147958,96632846268387.25,4.428826,2,2.960667791645646,99451176734366.92,0.7564135,1,1.668836020927999,99451176734366.92,0.7564135,1,1.1905443124855868,95547958607414.3,0.8336373,3,2.533091372174035,100004759141157.5,0.5485019,0,3.2119248973302628,100004759141157.5,0.5485019,12,11.461845175287898,97759894956349.88,0.35190576,2,1.1775172468943322,98507869599567.39,0.7866047,4,3.972260051243434,95448764135315.06,1.2929298,0,0.7562322983857601,96590150012468.3,0.49111244,2,1.3088298623865686,96590150012468.3,0.49111244,3,3.2719851076035704,97860926838070.1,0.7392443,6,5.207011569807282,95646445531833.31,0.74486357,1,2.0245105452926437,96329408664740.17,0.5731433,3,3.5464440759958613,99508060146129.39,0.74262804,2.684853725305988e-14
2,2.89982865072217,98124509242214.84,0.7425875,1,1.622316391298261,99081259761639.48,0.74808127,1,0.7348238353237719,98478138832218.48,0.4647747,3,2.9294603292453973,98930211700001.5,2.5119636,9,5.674326449530769,97117703133197.31,2.8792965,11,8.003834661858056,98304050900303.19,0.7607125,2,1.1509175159773688,96478092700272.03,0.47435173,3,3.460555353593008,98631003228746.28,0.8042819,3,2.9837838970859405,99345656858219.73,0.81448555,6,3.6607543633184254,99076560632717.61,0.8501727,1,1.6155176022106006,98756279526686.6,0.83364296,1,1.594985899004966,98144462411871.25,0.7924701,2,4.293367773296252,97370378152739.89,1.3119674,1,1.2695093424841373,97557596677498.67,0.7830795,0,0.7045439290474653,97461657031918.67,0.33154094,1,1.7655025359108298,98386975193308.45,0.8435953,6,3.3165718443675627,97110705811014.23,0.69748604,1,2.204022825244867,96974123176804.89,0.7817387,0,0.47561865851260476,98144337645941.9,0.30832508,3,2.6157945281096695,98341585709994.05,0.7861987,0,1.8491248997118304,98494994944755.03,0.792149,7,7.650856745485118,97330964555911.28,2.0240593,0,1.058063983661298,96989120553237.44,0.75356996,1,1.431715846697758,94618618980218.66,0.26326552,3,3.446795977868168,96244247160492.34,0.7734305,5,5.493403947446051,96632846268387.25,4.428826,2,0.8618048208008411,99451176734366.92,0.7564135,4,2.466393010853713,99451176734366.92,0.7564135,1,2.030698099047485,95547958607414.3,0.8336373,1,0.9451164809048791,100004759141157.5,0.5485019,2,3.688974902681033,100004759141157.5,0.5485019,1,1.0477664845692929,97759894956349.88,0.35190576,1,1.5716382984405963,98507869599567.39,0.7866047,1,2.1534588737948175,95448764135315.06,1.2929298,1,0.6434063772843,96590150012468.3,0.49111244,3,4.433789689205597,96590150012468.3,0.49111244,3,2.393196513344116,97860926838070.1,0.7392443,1,3.1813304247592784,95646445531833.31,0.74486357,2,1.8764070064035574,96329408664740.17,0.5731433,1,2.22741607014902,99508060146129.39,0.74262804,2.480293441473151e-14
