Counts_Epoch_0,ExpVal_0,t_exp_0,bgr_0,Counts_Epoch_1,ExpVal_1,t_exp_1,bgr_1,Counts_Epoch_2,ExpVal_2,t_exp_2,bgr_2,Counts_Epoch_3,ExpVal_3,t_exp_3,bgr_3,Counts_Epoch_4,ExpVal_4,t_exp_4,bgr_4,Counts_Epoch_5,ExpVal_5,t_exp_5,bgr_5,Counts_Epoch_6,ExpVal_6,t_exp_6,bgr_6,Counts_Epoch_7,ExpVal_7,t_exp_7,bgr_7,Counts_Epoch_8,ExpVal_8,t_exp_8,bgr_8,Counts_Epoch_9,ExpVal_9,t_exp_9,bgr_9,CR_mean
0,1.234166639444128,98124509242214.84,0.7425875,2,3.655345518149477,99081259761639.48,0.74808127,19,16.048277923618755,98478138832218.48,0.4647747,14,12.398773781122012,98930211700001.5,2.5119636,3,3.713234494209015,97117703133197.31,2.8792965,0,0.9868651238003111,98304050900303.19,0.7607125,4,2.080379318121758,96478092700272.03,0.47435173,4,4.953729286706029,98631003228746.28,0.8042819,4,1.622338708261467,99345656858219.73,0.81448555,3,2.1400581846888254,99076560632717.61,0.8501727,5.3885490184174026e-14
4,3.6014117513835022,98124509242214.84,0.7425875,6,5.550958296918318,99081259761639.48,0.74808127,9,10.196110497886584,98478138832218.48,0.4647747,5,4.688631812765841,98930211700001.5,2.5119636,2,3.4487053887742345,97117703133197.31,2.8792965,0,1.7515295602322887,98304050900303.19,0.7607125,4,1.5438252095044878,96478092700272.03,0.47435173,1,2.413151941759775,98631003228746.28,0.8042819,3,2.564538758492092,99345656858219.73,0.81448555,2,1.1455745363769267,99076560632717.61,0.8501727,3.660146503075972e-14
3,3.0661952911217827,98124509242214.84,0.7425875,2,1.645518284854334,99081259761639.48,0.74808127,1,0.9697797869977928,98478138832218.48,0.4647747,4,3.4886798207463148,98930211700001.5,2.5119636,10,5.646189895263767,97117703133197.31,2.8792965,0,0.9599035285795144,98304050900303.19,0.7607125,4,7.302035656096507,96478092700272.03,0.47435173,4,5.981875937075389,98631003228746.28,0.8042819,1,0.9112978286061972,99345656858219.73,0.81448555,5,5.139105445819999,99076560632717.61,0.8501727,3.4568050306828625e-14
7,8.002235004542847,98124509242214.84,0.7425875,0,0.9239389297114258,99081259761639.48,0.74808127,3,2.6685492857328086,98478138832218.48,0.4647747,12,6.410274247977336,98930211700001.5,2.5119636,2,4.821393223871295,97117703133197.31,2.8792965,3,1.7837849438497653,98304050900303.19,0.7607125,2,1.5220159406061442,96478092700272.03,0.47435173,2,2.57757312565982,98631003228746.28,0.8042819,4,4.375660660888864,99345656858219.73,0.81448555,0,0.9570392429650143,99076560632717.61,0.8501727,3.558475766879417e-14
5,2.731092579196843,98124509242214.84,0.7425875,3,1.7497973079028795,99081259761639.48,0.74808127,4,3.5804198650564203,98478138832218.48,0.4647747,1,3.306248588146769,98930211700001.5,2.5119636,9,8.21509174709021,97117703133197.31,2.8792965,5,3.2246477283018344,98304050900303.19,0.7607125,2,1.1012793430529157,96478092700272.03,0.47435173,1,1.3932950191237368,98631003228746.28,0.8042819,1,1.0103952770645066,99345656858219.73,0.81448555,12,10.11885404566757,99076560632717.61,0.8501727,4.3718416564518554e-14
4,1.8480314368759976,98124509242214.84,0.7425875,0,1.3721610672674653,99081259761639.48,0.74808127,2,1.667650005830799,98478138832218.48,0.4647747,6,6.457867789631557,98930211700001.5,2.5119636,4,3.6871315424986726,97117703133197.31,2.8792965,3,3.4006429167842693,98304050900303.19,0.7607125,2,1.1057369536642097,96478092700272.03,0.47435173,0,1.5642715765626385,98631003228746.28,0.8042819,7,3.8820986814326073,99345656858219.73,0.81448555,3,1.712969823354228,99076560632717.61,0.8501727,3.151792822093198e-14
7,2.6511629007406143,98124509242214.84,0.7425875,6,4.297259111513252,99081259761639.48,0.74808127,0,1.1281773640784132,98478138832218.48,0.4647747,8,6.601058582847188,98930211700001.5,2.5119636,3,3.8435656283406017,97117703133197.31,2.8792965,2,3.0291196205625233,98304050900303.19,0.7607125,3,3.6850877541535523,96478092700272.03,0.47435173,4,5.289666877209361,98631003228746.28,0.8042819,3,3.636707602992461,99345656858219.73,0.81448555,0,1.9268272744756152,99076560632717.61,0.8501727,3.660146503075972e-14
1,1.1199746173626746,98124509242214.84,0.7425875,3,1.4723418172919354,99081259761639.48,0.74808127,2,1.2693244809723407,98478138832218.48,0.4647747,1,3.522103610148314,98930211700001.5,2.5119636,3,3.77095899777543,97117703133197.31,2.8792965,6,6.251804192437157,98304050900303.19,0.7607125,3,1.0927175159117744,96478092700272.03,0.47435173,3,1.9964399467089975,98631003228746.28,0.8042819,3,1.524802871024474,99345656858219.73,0.81448555,3,1.2608419871999863,99076560632717.61,0.8501727,2.8467806135035337e-14
1,1.4905576754432106,98124509242214.84,0.7425875,3,1.5012429183616345,99081259761639.48,0.74808127,2,0.8162254634734082,98478138832218.48,0.4647747,6,4.958471477777856,98930211700001.5,2.5119636,4,3.948962479149139,97117703133197.31,2.8792965,11,11.952029133077904,98304050900303.19,0.7607125,2,3.1100010308078097,96478092700272.03,0.47435173,3,3.7979446189794097,98631003228746.28,0.8042819,2,1.7893408697353954,99345656858219.73,0.81448555,8,7.322471189376085,99076560632717.61,0.8501727,4.2701709202553005e-14
4,3.100849696914216,98124509242214.84,0.7425875,4,1.126981638201269,99081259761639.48,0.74808127,1,3.977055589984618,98478138832218.48,0.4647747,2,3.184873584389857,98930211700001.5,2.5119636,7,5.154822068405705,97117703133197.31,2.8792965,3,1.6231337036574909,98304050900303.19,0.7607125,3,3.0524347381851227,96478092700272.03,0.47435173,1,1.1689681300895942,98631003228746.28,0.8042819,3,2.9798855680653595,99345656858219.73,0.81448555,1,1.0266249407551458,99076560632717.61,0.8501727,2.9484513497000886e-14
